,Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
34,04.1a–c,True,True,False,35,706,The American Wing,1904,Vase,The Adams Vase,American,,,,,108316253,Designer|Manufacturer,Designed by|Manufactured by,Paulding Farnham|Tiffany & Co.,1859–1927|1837–present, | ,"Farnham, Paulding|Tiffany & Co.",American| ,1859      |1837      ,1927      |9999      ,|,http://vocab.getty.edu/page/ulan/500336597|http://vocab.getty.edu/page/ulan/500330306,https://www.wikidata.org/wiki/Q13476260|https://www.wikidata.org/wiki/Q1066858,1893–95,1893,1895,"Gold, amethysts, spessartites, tourmalines, fresh water pearls, quartzes, rock crystal, and enamel","Overall: 19 7/16 x 13 x 9 1/4 in. (49.4 x 33 x 23.5 cm); 352 oz. 18 dwt. (10977 g)
Body: H. 18 7/8 in. (47.9 cm)
Cover: 4 1/4 x 4 13/16 in. (10.8 x 12.2 cm); 19 oz. 6 dwt. (600.1 g)","Gift of Edward D. Adams, 1904",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/35,https://www.wikidata.org/wiki/Q83545838,,"Metropolitan Museum of Art, New York, NY",Animals|Garlands|Birds|Men,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300167386|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q756600|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q8441
41,60.58.1,False,False,True,42,724,The American Wing,1960,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",30 7/8 x 25 x 13 7/8 in. (78.4 x 63.5 x 35.2 cm),"Sansbury-Mills Fund, 1960",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/42,https://www.wikidata.org/wiki/Q116373725,,"Metropolitan Museum of Art, New York, NY",,,
42,60.58.2,False,False,True,43,724,The American Wing,1960,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",30 7/8 x 25 x 13 7/8 in. (78.4 x 63.5 x 35.2 cm),"Sansbury-Mills Fund, 1960",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/43,https://www.wikidata.org/wiki/Q116373726,,"Metropolitan Museum of Art, New York, NY",,,
59,23.80.14,False,False,True,64,728,The American Wing,1923,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",25 1/4 x 21 1/2 x 13 1/2 in. (64.1 x 54.6 x 34.3 cm),"Gift of Mr. and Mrs. William A. Moore, 1923",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/64,https://www.wikidata.org/wiki/Q116373708,,"Metropolitan Museum of Art, New York, NY",,,
60,23.80.15,False,False,True,65,728,The American Wing,1923,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",25 1/4 x 21 1/2 x 13 1/2 in. (64.1 x 54.6 x 34.3 cm),"Gift of Mr. and Mrs. William A. Moore, 1923",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/65,https://www.wikidata.org/wiki/Q116373709,,"Metropolitan Museum of Art, New York, NY",,,
73,39.184.46,False,False,True,80,718,The American Wing,1939,Andiron,Andiron,,,,,,,,,,,,,,,,,,,1760–80,1760,1780,"Brass, iron",25 1/2 x 22 1/4 x 13 1/2 in. (64.8 x 56.5 x 34.3 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/80,https://www.wikidata.org/wiki/Q116373699,,"Metropolitan Museum of Art, New York, NY",,,
83,46.67.126,False,False,True,92,729,The American Wing,1946,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1815,1795,1815,"Brass, iron",23 1/4 x 23 1/2 in. (59.1 x 59.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/92,https://www.wikidata.org/wiki/Q116234887,,"Metropolitan Museum of Art, New York, NY",Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113
84,46.67.127,False,False,True,93,729,The American Wing,1946,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1815,1795,1815,"Brass, iron",23 1/4 x 23 1/2 in. (59.1 x 59.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/93,https://www.wikidata.org/wiki/Q116373683,,"Metropolitan Museum of Art, New York, NY",Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113
97,1984.134.1,False,False,True,106,774,The American Wing,1984,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,ca. 1800,1797,1800,Brass,H. 22 1/2 in. (57.2 cm); Diam. 29 in. (73.7 cm),"Friends of the American Wing Fund, 1984",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/106,https://www.wikidata.org/wiki/Q116373672,,"Metropolitan Museum of Art, New York, NY",,,
98,1984.134.2,False,False,True,107,774,The American Wing,1984,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,ca. 1800,1797,1800,Brass,H. 22 1/2 in. (57.2 cm); Diam. 29 in. (73.7 cm),"Friends of the American Wing Fund, 1984",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/107,https://www.wikidata.org/wiki/Q116373673,,"Metropolitan Museum of Art, New York, NY",,,
99,1989.120.1,False,False,True,108,774,The American Wing,1989,Andiron,Andiron,American,,,,,16605,Maker, ,John Bailey,"American, active New York, 1736–1815", ,"Bailey, John",American,1736      ,1815      ,,http://vocab.getty.edu/page/ulan/500524521,,1792–1814,1792,1814,Brass and iron,16 1/8 x 10 x 14 7/8 in. (41 x 25.4 x 37.8 cm),"Purchase, Mr. and Mrs. George M. Kaufman Gift, 1989",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/108,https://www.wikidata.org/wiki/Q116373670,,"Metropolitan Museum of Art, New York, NY",,,
100,1989.120.2,False,False,True,109,774,The American Wing,1989,Andiron,Andiron,American,,,,,16605,Maker, ,John Bailey,"American, active New York, 1736–1815", ,"Bailey, John",American,1736      ,1815      ,,http://vocab.getty.edu/page/ulan/500524521,,1792–1814,1792,1814,Brass and iron,16 1/8 x 10 x 14 7/8 in. (41 x 25.4 x 37.8 cm),"Purchase, Mr. and Mrs. George M. Kaufman Gift, 1989",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/109,https://www.wikidata.org/wiki/Q116373671,,"Metropolitan Museum of Art, New York, NY",,,
111,68.69.17,False,False,False,120,774,The American Wing,1968,Andiron,Andiron,American,,,,,16254216254,Designer|Maker,Designed by| ,Louis C. Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902", | ,"Tiffany, Louis C.|Tiffany Glass and Decorating Company",American|American,1848      |1892      ,1933      |1902      ,|,http://vocab.getty.edu/page/ulan/500030415|http://vocab.getty.edu/page/ulan/500331512,https://www.wikidata.org/wiki/Q312950|,1894,1894,1894,"Bronze, glass, iron",25 x 15 x 35 in. (63.5 x 38.1 x 88.9 cm),"Gift of Mrs. D. Chester Noyes, 1968",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/120,https://www.wikidata.org/wiki/Q116373646,,"Metropolitan Museum of Art, New York, NY",,,
112,68.69.18,False,False,False,121,774,The American Wing,1968,Andiron,Andiron,American,,,,,16254216254,Designer|Maker,Designed by| ,Louis C. Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902", | ,"Tiffany, Louis C.|Tiffany Glass and Decorating Company",American|American,1848      |1892      ,1933      |1902      ,|,http://vocab.getty.edu/page/ulan/500030415|http://vocab.getty.edu/page/ulan/500331512,https://www.wikidata.org/wiki/Q312950|,1894,1894,1894,"Bronze, glass, iron",25 x 15 x 35 in. (63.5 x 38.1 x 88.9 cm),"Gift of Mrs. D. Chester Noyes, 1968",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/121,https://www.wikidata.org/wiki/Q116373648,,"Metropolitan Museum of Art, New York, NY",,,
113,64.291.1,False,False,True,122,774,The American Wing,1964,Andiron,Andiron,American,,,,,109,Maker, ,Richard Wittingham,active before 1795–ca. 1818, ,"Wittingham, Richard",American,1794      ,1818      ,,,,ca. 1800,1797,1800,Brass,22 5/8 x 10 3/4 x 20 1/2 in. (57.5 x 27.3 x 52.1 cm),"Gift of Gertrude Moira Flanagan, 1964",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/122,https://www.wikidata.org/wiki/Q116373634,,"Metropolitan Museum of Art, New York, NY",,,
114,64.291.2,False,False,True,123,774,The American Wing,1964,Andiron,Andiron,American,,,,,109,Maker, ,Richard Wittingham,active before 1795–ca. 1818, ,"Wittingham, Richard",American,1794      ,1818      ,,,,ca. 1800,1797,1800,Brass,22 5/8 x 10 3/4 x 20 1/2 in. (57.5 x 27.3 x 52.1 cm),"Gift of Gertrude Moira Flanagan, 1964",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/123,https://www.wikidata.org/wiki/Q116373636,,"Metropolitan Museum of Art, New York, NY",,,
158,31.44.9,False,False,True,189,774,The American Wing,1931,Armchair,Armchair,American,,,,,,,,,,,,,,,,,,1795–1800,1795,1800,"Mahogany, ash, tulip poplar, maple",38 3/4 x 21 1/2 x 18 in. (98.4 x 54.6 x 45.7 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1931",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/189,https://www.wikidata.org/wiki/Q116373610,,"Metropolitan Museum of Art, New York, NY",,,
162,41.111,False,True,True,193,712,The American Wing,1941,Armchair,Turned armchair,American,,,,,,,,,,,,,,,,,,1665–90,1665,1690,Ash,39 1/2 x 24 x 17 in. (100.3 x 61 x 43.2 cm),"Rogers Fund, 1941",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/193,https://www.wikidata.org/wiki/Q83545839,,"Metropolitan Museum of Art, New York, NY",,,
172,2006.90.1,False,False,True,205,706,The American Wing,2006,Teapot,Teapot,American,,,,,110,Maker, ,Wood and Hughes,1845–99, ,Wood and Hughes ,American,1845      ,1899      ,,,,1862–63,1862,1863,Silver,11 1/4 x 9 15/16 in. (28.6 x 25.2 cm),"Friends of the American Wing Fund, 2006",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/205,https://www.wikidata.org/wiki/Q116373607,,"Metropolitan Museum of Art, New York, NY",Factories|Men,http://vocab.getty.edu/page/aat/300006232|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q83405|https://www.wikidata.org/wiki/Q8441
179,1986.204,True,True,True,214,736,The American Wing,1986,Armchair,Armchair,American,,,,,345,Maker,Possibly,Gustave Herter,1830–1898, ,"Herter, Gustave","German (Stuttgart, principality of Württemberg)",1830      ,1898      ,,http://vocab.getty.edu/page/ulan/500088027,https://www.wikidata.org/wiki/Q1556712,ca. 1855,1852,1858,"Walnut, original leather, modern velvet cushion",64 1/2 x 25 3/8 x 22 1/4 in. (163.8 x 64.5 x 56.5 cm),"Friends of the American Wing Fund, 1986",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/214,https://www.wikidata.org/wiki/Q83560001,,"Metropolitan Museum of Art, New York, NY",,,
185,1972.76,False,False,True,221,774,The American Wing,1972,Armchair,Armchair,American,,,,,110,Maker, ,Herter Brothers,"German, active New York, 1864–1906", ,Herter Brothers,American,1864      ,1906      ,,http://vocab.getty.edu/page/ulan/500274670,https://www.wikidata.org/wiki/Q1614654,1865–70,1865,1870,"Rosewood, marquetry, gilt",34 5/8 x 25 x 26 3/4 in. (87.9 x 63.5 x 67.9 cm),"Gift of Paul Martini, 1972",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/221,https://www.wikidata.org/wiki/Q116373589,,"Metropolitan Museum of Art, New York, NY",,,
188,68.69.14,False,False,True,224,774,The American Wing,1968,Reclining armchair,Reclining Armchair,American,,,,,111,Maker, ,George Jakob Hunzinger,1835–1898, ,"Hunzinger, George Jakob",American,1835      ,1898      ,,http://vocab.getty.edu/page/ulan/500005428,https://www.wikidata.org/wiki/Q55720552,after 1866,1867,1876,Cherry,38 1/2 x 26 x 33 in. (97.8 x 66 x 83.8 cm),"Gift of Mrs. D. Chester Noyes, 1968",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/224,https://www.wikidata.org/wiki/Q116373586,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
189,1982.69,False,False,True,225,774,The American Wing,1982,Folding armchair,Folding Armchair,American,,,,,111,Maker, ,George Jakob Hunzinger,1835–1898, ,"Hunzinger, George Jakob",American,1835      ,1898      ,,http://vocab.getty.edu/page/ulan/500005428,https://www.wikidata.org/wiki/Q55720552,after 1876,1877,1886,"Maple, steel mesh",34 x 20 3/4 x 22 1/4 in. (86.4 x 52.7 x 56.5 cm),"Sansbury-Mills Fund, 1982",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/225,https://www.wikidata.org/wiki/Q116373585,,"Metropolitan Museum of Art, New York, NY",,,
191,68.69.2,False,False,True,227,713,The American Wing,1968,Armchair,Armchair,American,,,,,111,Maker, ,Léon Marcotte,1824–1887, ,"Marcotte, Léon",French,1824      ,1887      ,,http://vocab.getty.edu/page/ulan/500026799,https://www.wikidata.org/wiki/Q1717331,ca. 1860,1857,1860,"Maple, gilt bronze",40 3/4 x 25 1/2 x 20 in. (103.5 x 64.8 x 50.8 cm),"Gift of Mrs. D. Chester Noyes, 1968",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/227,https://www.wikidata.org/wiki/Q116373580,,"Metropolitan Museum of Art, New York, NY",,,
192,68.165.4,False,False,False,228,713,The American Wing,1968,Armchair,Armchair,American,,,,,111,Maker, ,Léon Marcotte,1824–1887, ,"Marcotte, Léon",French,1824      ,1887      ,,http://vocab.getty.edu/page/ulan/500026799,https://www.wikidata.org/wiki/Q1717331,ca. 1860,1857,1860,Maple,40 1/2 x 26 x 24 3/4 in. (102.9 x 66 x 62.9 cm),"Gift of Mrs. Douglas M. Moffat, 1968",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/228,https://www.wikidata.org/wiki/Q116390141,,"Metropolitan Museum of Art, New York, NY",,,
193,1975.157,False,False,True,229,774,The American Wing,1975,Folding armchair,Folding Armchair,American,,,,,111,Maker, ,Marks Adjustable Folding Chair Company,1877–97, ,Marks Adjustable Folding Chair Company ,American,1877      ,1897      ,,,,ca. 1877–97,1877,1897,"Walnut, metal",45 3/4 x 29 x 27 1/2 in. (116.2 x 73.7 x 69.9 cm),"Purchase, Mrs. Russell Sage Gift, 1975",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/229,https://www.wikidata.org/wiki/Q116373581,,"Metropolitan Museum of Art, New York, NY",,,
195,1985.189,False,False,True,231,740,The American Wing,1985,Armchair,Armchair,American,,,,,111,Maker, ,John and Joseph W. Meeks,active ca. 1836–59, ,"Meeks, John and Joseph W.",American,1833      ,1859      ,,,,ca. 1850,1847,1850,Mahogany,53 x 23 x 22 in. (134.6 x 58.4 x 55.9 cm),"Friends of the American Wing Fund, 1985",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/231,https://www.wikidata.org/wiki/Q116390150,,"Metropolitan Museum of Art, New York, NY",,,
196,69.159.1,False,False,True,232,,The American Wing,1969,Armchair,Armchair,American,,,,,111,Maker, ,North American Iron Works,ca. 1877–ca. 1897, ,North American Iron Works ,American,1874      ,1897      ,,,,1877–97,1877,1897,Cast iron,35 1/4 x 21 x 19 in. (89.5 x 53.3 x 48.3 cm),"Rogers Fund, 1969",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/232,,,"Metropolitan Museum of Art, New York, NY",,,
197,31.44.2,False,True,True,233,774,The American Wing,1931,Armchair,Armchair,American,,,,,133,Artist, ,Charles-Honoré Lannuier,France 1779–1819 New York, ,"Lannuier, Charles-Honoré",American,1779      ,1819      ,,http://vocab.getty.edu/page/ulan/500256814,https://www.wikidata.org/wiki/Q5074741,ca. 1810,1807,1813,Mahogany,32 7/8 x 22 1/8 x 19 in. (83.5 x 56.2 x 48.3 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1931",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/233,https://www.wikidata.org/wiki/Q83560006,,"Metropolitan Museum of Art, New York, NY",,,
198,69.175,False,False,True,234,714,The American Wing,1969,Armchair,Armchair,American,,,,,111,Maker,Attributed to the Workshop of,Duncan Phyfe,"American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York", ,"Phyfe, Duncan","American, born Scotland",1770      ,1854      ,,http://vocab.getty.edu/page/ulan/500082047,https://www.wikidata.org/wiki/Q3041258,ca. 1835,1832,1835,Rosewood,33 1/4 x 24 x 20 in. (84.5 x 61 x 50.8 cm),"Rogers Fund, 1969",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/234,https://www.wikidata.org/wiki/Q116373578,,"Metropolitan Museum of Art, New York, NY",,,
199,88.10.2,False,False,True,235,774,The American Wing,1888,Side chair,Side chair,American,,,,,16381,Maker, ,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19, ,Pottier and Stymus Manufacturing Company , ,1858      ,1919      ,,http://vocab.getty.edu/page/ulan/500330539,https://www.wikidata.org/wiki/Q2106610,ca. 1875,1872,1875,Black walnut,48 3/4 x 25 1/2 x 23 in. (123.8 x 64.8 x 58.4 cm),"Gift of Auguste Pottier, 1888",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/235,https://www.wikidata.org/wiki/Q116373575,,"Metropolitan Museum of Art, New York, NY",,,
200,88.10.3,False,False,True,236,774,The American Wing,1888,Armchair,Armchair,American,,,,,16381,Maker, ,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19, ,Pottier and Stymus Manufacturing Company , ,1858      ,1919      ,,http://vocab.getty.edu/page/ulan/500330539,https://www.wikidata.org/wiki/Q2106610,ca. 1875–76,1870,1881,"Black walnut, original and reproduction upholstery",51 3/4 x 28 x 25 in. (131.4 x 71.1 x 63.5 cm),"Gift of Auguste Pottier, 1888",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/236,https://www.wikidata.org/wiki/Q116373574,,"Metropolitan Museum of Art, New York, NY",,,
201,1970.35.1,True,True,True,237,736,The American Wing,1970,Armchair,Armchair,American,,,,,16381,Maker,Attributed to,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19, ,Pottier and Stymus Manufacturing Company , ,1858      ,1919      ,,http://vocab.getty.edu/page/ulan/500330539,https://www.wikidata.org/wiki/Q2106610,ca. 1870–75,1867,1875,"Rosewood, prickly juniper veneer, gilding, brass, original tapestry upholstery",37 x 27 1/2 x 27 1/2 in. (94 x 69.9 x 69.9 cm),"Funds from various donors, 1970",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/237,https://www.wikidata.org/wiki/Q29382865,,"Metropolitan Museum of Art, New York, NY",Sphinx,http://vocab.getty.edu/page/aat/300375739,https://www.wikidata.org/wiki/Q151480
203,64.202.1,False,False,False,239,743,The American Wing,1964,Armchair,Armchair,American,,,,,16254216254,Maker|Maker, | ,Louis C. Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902", | ,"Tiffany, Louis C.|Tiffany Glass and Decorating Company",American|American,1848      |1892      ,1933      |1902      ,|,http://vocab.getty.edu/page/ulan/500030415|http://vocab.getty.edu/page/ulan/500331512,https://www.wikidata.org/wiki/Q312950|,ca. 1891–93,1888,1893,"Prima vera, American ash (secondary wood); marquetry of various woods and brass; replacement upholstery",35 5/8 x 25 1/4 x 26 1/8 in. (90.5 x 64.1 x 66.4 cm),"Gift of Mr. and Mrs. George E. Seligmann, 1964",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/239,https://www.wikidata.org/wiki/Q116373572,,"Metropolitan Museum of Art, New York, NY",,,
204,64.202.2,False,False,False,240,774,The American Wing,1964,Armchair,Armchair,American,,,,,16254216254,Maker|Maker, | ,Louis C. Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902", | ,"Tiffany, Louis C.|Tiffany Glass and Decorating Company",American|American,1848      |1892      ,1933      |1902      ,|,http://vocab.getty.edu/page/ulan/500030415|http://vocab.getty.edu/page/ulan/500331512,https://www.wikidata.org/wiki/Q312950|,ca. 1893,1890,1893,"Prima vera, American ash (secondary wood); marquetry of various woods and brass; replacement upholstery",35 3/8 x 25 5/8 x 26 1/4 in. (89.9 x 65.1 x 66.7 cm),"Gift of Mr. and Mrs. George E. Seligmann, 1964",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/240,https://www.wikidata.org/wiki/Q116373566,,"Metropolitan Museum of Art, New York, NY",,,
210,69.258.3,False,False,True,248,,The American Wing,1969,Side Chair,Side Chair,American,,,,,16497,Maker, ,Joseph Meeks & Sons,"American, New York, 1829–35", ,"Meeks, Joseph & Sons",American,1829      ,1835      ,,http://vocab.getty.edu/page/ulan/500524443,https://www.wikidata.org/wiki/Q97054971,1859,1859,1859,Rosewood,48 x 27 1/2 x 31 in. (121.9 x 69.9 x 78.7 cm),"Gift of Bradford A. Warner, 1969",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/248,,,"Metropolitan Museum of Art, New York, NY",Grapes,http://vocab.getty.edu/page/aat/300379338,https://www.wikidata.org/wiki/Q10978
211,69.258.4,False,False,True,249,,The American Wing,1969,Side Chair,Side Chair,American,,,,,16497,Maker, ,Joseph Meeks & Sons,"American, New York, 1829–35", ,"Meeks, Joseph & Sons",American,1829      ,1835      ,,http://vocab.getty.edu/page/ulan/500524443,https://www.wikidata.org/wiki/Q97054971,1859,1859,1859,Rosewood,48 x 27 1/2 x 31 in. (121.9 x 69.9 x 78.7 cm),"Gift of Bradford A. Warner, 1969",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/249,,,"Metropolitan Museum of Art, New York, NY",Grapes,http://vocab.getty.edu/page/aat/300379338,https://www.wikidata.org/wiki/Q10978
216,32.55.6,False,False,True,257,,The American Wing,1932,Armchair,Armchair,American,,,,,,,,,,,,,,,,,,1795–1805,1795,1805,"Mahogany, satinwood inlay, ash",38 1/4 x 22 3/4 x 17 3/8 in. (97.2 x 57.8 x 44.1 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1932",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/257,,,"Metropolitan Museum of Art, New York, NY",,,
217,32.55.7,False,False,False,258,,The American Wing,1932,Armchair,Armchair,American,,,,,,,,,,,,,,,,,,1795–1805,1795,1805,"Mahogany, satinwood inlay, ash",38 1/4 x 22 3/4 x 17 3/8 in. (97.2 x 57.8 x 44.1 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1932",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/258,,,"Metropolitan Museum of Art, New York, NY",,,
218,46.67.97,False,False,True,259,725,The American Wing,1946,Armchair,Armchair,American,,,,,,,,,,,,,,,,,,1795–1810,1795,1810,"Mahogany, ash, cherry",36 3/4 x 23 x 18 in. (93.3 x 58.4 x 45.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/259,https://www.wikidata.org/wiki/Q116373562,,"Metropolitan Museum of Art, New York, NY",,,
219,46.67.98,False,False,True,260,725,The American Wing,1946,Armchair,Armchair,American,,,,,,,,,,,,,,,,,,1795–1810,1795,1810,"Mahogany, ash, cherry",36 3/4 x 23 x 18 in. (93.3 x 58.4 x 45.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/260,https://www.wikidata.org/wiki/Q116373559,,"Metropolitan Museum of Art, New York, NY",,,
220,57.130.2,False,False,True,261,739,The American Wing,1957,Armchair,Armchair,American,,,,,110321528,Maker|Maker,Attributed to|or attributed to,John Henry Belter|J. H. Belter & Co.,"American, born Germany 1804-1863 New York|1854–1865", | ,"Belter, John Henry|J. H. Belter & Co.",American| ,1804      |1854      ,1863      |1865      ,|,http://vocab.getty.edu/page/ulan/500001413|,https://www.wikidata.org/wiki/Q46973286|,1850–60,1850,1860,"Rosewood, ash",50 x 26 1/2 x 23 in. (127 x 67.3 x 58.4 cm),"Gift of Mrs. Charles Reginald Leonard, in memory of Edgar Welch  Leonard, Robert Jarvis Leonard, and Charles Reginald Leonard, 1957",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/261,https://www.wikidata.org/wiki/Q116390169,,"Metropolitan Museum of Art, New York, NY",,,
221,57.130.3,False,False,False,262,739,The American Wing,1957,Armchair,Armchair,American,,,,,215281110,Maker|Maker,or attributed to|Attributed to,J. H. Belter & Co.|John Henry Belter,"1854–1865|American, born Germany 1804-1863 New York", | ,"J. H. Belter & Co.|Belter, John Henry", |American,1854      |1804      ,1865      |1863      ,|,|http://vocab.getty.edu/page/ulan/500001413,|https://www.wikidata.org/wiki/Q46973286,1850–60,1850,1860,"Rosewood, ash",49 1/2 x 26 1/2 x 22 1/2 in. (125.7 x 67.3 x 57.2 cm),"Gift of Mrs. Charles Reginald Leonard, in memory of Edgar Welch  Leonard, Robert Jarvis Leonard, and Charles Reginald Leonard, 1957",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/262,https://www.wikidata.org/wiki/Q116390177,,"Metropolitan Museum of Art, New York, NY",,,
226,60.4.2,False,False,True,267,728,The American Wing,1960,Armchair,Armchair,American,,,,,111,Maker,Attributed to,Duncan Phyfe,"American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York", ,"Phyfe, Duncan","American, born Scotland",1770      ,1854      ,,http://vocab.getty.edu/page/ulan/500082047,https://www.wikidata.org/wiki/Q3041258,1791–1818,1791,1818,"Primary: mahogany; Secondary: cherry (medial braces), ash or oak (stubb tenon feet).",32 7/8 x 21 1/2 x 24 3/4 in. (83.5 x 54.6 x 62.9 cm),"Gift of C. Ruxton Love Jr., 1960",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/267,https://www.wikidata.org/wiki/Q116373556,,"Metropolitan Museum of Art, New York, NY",,,
